steps,ep_rew_mean,success_rate
118784,0.6233164583333334,0.375
119808,0.5555693333333332,0.30952380952380953
120832,0.6889957647058824,0.5490196078431373
121856,0.6468861020408163,0.4489795918367347
122880,0.5779733863636364,0.2727272727272727
123904,0.6352912978723404,0.425531914893617
124928,0.7010965283018867,0.5660377358490566
125952,0.6410825294117647,0.45098039215686275
126976,0.6131189361702127,0.425531914893617
128000,0.5144556428571428,0.2619047619047619
129024,0.6195413043478261,0.3695652173913043
130048,0.6927631538461537,0.5576923076923077
131072,0.6423113877551021,0.40816326530612246
132096,0.608868829787234,0.3829787234042553
133120,0.5479942045454546,0.29545454545454547
134144,0.64110762,0.4
135168,0.5704049069767442,0.3953488372093023
136192,0.5558784,0.3111111111111111
137216,0.5243601951219512,0.1951219512195122
138240,0.608342085106383,0.3617021276595745
139264,0.65028902,0.42
140288,0.703121,0.5384615384615384
141312,0.5831244222222222,0.3111111111111111
142336,0.6640514038461538,0.4423076923076923
143360,0.6385827346938776,0.4489795918367347
144384,0.6273728333333334,0.3958333333333333
145408,0.6953646792452831,0.5283018867924528
146432,0.5962893777777778,0.35555555555555557
147456,0.6403407234042553,0.44680851063829785
148480,0.561445023255814,0.27906976744186046
149504,0.6433692040816327,0.42857142857142855
150528,0.6024813260869565,0.3695652173913043
151552,0.5962210888888889,0.26666666666666666
152576,0.5451420238095238,0.2857142857142857
153600,0.6181199347826086,0.3695652173913043
154624,0.5938307173913043,0.34782608695652173
155648,0.6357804791666667,0.4166666666666667
156672,0.6626235714285714,0.4897959183673469
157696,0.6034309347826087,0.30434782608695654
158720,0.6865166862745099,0.45098039215686275
159744,0.6157224042553191,0.3829787234042553
160768,0.5937354545454545,0.3409090909090909
161792,0.5934768444444444,0.3333333333333333
162816,0.6551993958333333,0.4166666666666667
163840,0.6058432666666667,0.4
164864,0.6119776744186046,0.32558139534883723
165888,0.6165643695652174,0.391304347826087
166912,0.5966279333333333,0.35555555555555557
167936,0.61692225,0.36363636363636365
168960,0.6533418999999999,0.48
169984,0.6737034705882353,0.47058823529411764
171008,0.7097753673469388,0.5102040816326531
172032,0.5970985,0.32608695652173914
173056,0.6692304,0.46
174080,0.6089052765957447,0.3404255319148936
175104,0.7221162641509434,0.5471698113207547
176128,0.6548623673469388,0.46938775510204084
177152,0.5718881590909091,0.4090909090909091
178176,0.7315579629629629,0.5555555555555556
179200,0.6105558444444444,0.3333333333333333
180224,0.5921955227272727,0.3181818181818182
181248,0.6312033695652174,0.3695652173913043
182272,0.5832158444444444,0.3111111111111111
183296,0.7131102264150943,0.5283018867924528
184320,0.7659410689655173,0.6551724137931034
185344,0.68287382,0.5
186368,0.6433237083333333,0.4375
187392,0.7149998,0.54
188416,0.6766703,0.44
189440,0.6347037346938775,0.3877551020408163
190464,0.6843308,0.48
191488,0.6234663404255318,0.3617021276595745
192512,0.6597038999999999,0.46
193536,0.6501856122448979,0.4489795918367347
194560,0.6603706808510638,0.46808510638297873
195584,0.69055142,0.5
196608,0.7795685,0.65
197632,0.6806440392156863,0.47058823529411764
198656,0.68075312,0.52
199680,0.6311491304347826,0.391304347826087
200704,0.6457801836734693,0.4489795918367347
201728,0.6783508867924528,0.5094339622641509
202752,0.7141692000000001,0.48
203776,0.7034251509433962,0.5471698113207547
204800,0.6476750625,0.4166666666666667
205824,0.6550451875,0.3958333333333333
206848,0.6785143469387754,0.5102040816326531
207872,0.7417208750000001,0.5714285714285714
208896,0.6332502391304348,0.41304347826086957
209920,0.6812702448979592,0.4489795918367347
210944,0.710649641509434,0.5094339622641509
211968,0.6896646862745098,0.49019607843137253
212992,0.7028551538461538,0.5192307692307693
214016,0.667468744680851,0.44680851063829785
215040,0.6688602857142856,0.4489795918367347
216064,0.6764338125,0.4583333333333333
217088,0.6534160208333334,0.3958333333333333
218112,0.6585104375,0.4166666666666667
219136,0.7260981509433962,0.5471698113207547
220160,0.6977770377358491,0.5094339622641509
221184,0.65721975,0.3958333333333333
222208,0.6738355714285715,0.4489795918367347
223232,0.6334983617021276,0.3829787234042553
224256,0.6779345918367347,0.46938775510204084
225280,0.6418547083333334,0.4166666666666667
226304,0.6893309411764706,0.47058823529411764
227328,0.7164742115384615,0.5
228352,0.7083263333333333,0.5098039215686274
229376,0.6738245102040816,0.4489795918367347
230400,0.5845917441860465,0.32558139534883723
231424,0.7350097115384615,0.5576923076923077
232448,0.7378639622641509,0.6226415094339622
233472,0.7426728333333332,0.5925925925925926
234496,0.681485152173913,0.4782608695652174
235520,0.7111026923076923,0.5384615384615384
236544,0.7719456034482758,0.6379310344827587
237568,0.7242550980392157,0.5294117647058824
238592,0.6406657608695652,0.3695652173913043
239616,0.6940232156862746,0.47058823529411764
240640,0.69728512,0.52
241664,0.6687566530612244,0.46938775510204084
242688,0.6937768333333333,0.4375
243712,0.7313578113207547,0.5471698113207547
244736,0.7337493396226414,0.5283018867924528
245760,0.7357542884615385,0.5384615384615384
246784,0.7655810701754385,0.631578947368421
247808,0.7700037857142857,0.625
248832,0.7466424074074074,0.5925925925925926
249856,0.6921811999999999,0.46
250880,0.6862929387755102,0.46938775510204084
251904,0.6783410212765957,0.44680851063829785
252928,0.7398198867924528,0.5660377358490566
253952,0.7739365454545455,0.6363636363636364
254976,0.7954645593220339,0.6779661016949152
256000,0.7225973461538462,0.5
