steps,episode_reward,episode_length,completed
59978,72.264627,120,True
60098,60.227286,120,True
60218,74.347159,120,True
60338,59.377931,120,True
60458,46.681373,120,False
60578,76.846474,120,True
60698,65.732928,120,True
60818,74.446387,120,True
60938,74.990675,120,True
61058,57.530197,120,True
61178,66.710286,120,True
61298,69.528476,120,True
61418,68.325481,120,True
61538,75.344959,120,True
61658,75.792298,120,True
61778,70.423713,120,True
61898,72.06494,120,True
62018,63.577946,120,True
62138,70.037161,120,True
62258,70.250483,120,True
62378,64.374987,120,True
62498,61.739692,120,True
62598,51.776989,100,False
62718,72.94183,120,True
62837,60.51108,119,False
62957,67.835575,120,True
63077,70.1727,120,True
63197,69.622846,120,True
63317,64.56466,120,True
63437,70.982724,120,True
63557,74.047646,120,True
63677,74.45104,120,True
63797,75.59489,120,True
63917,74.280122,120,True
64037,71.040451,120,True
64157,64.509001,120,True
64277,63.767358,120,True
64397,72.253782,120,True
64517,67.878411,120,True
64637,75.033227,120,True
64757,74.570656,120,True
64877,69.53256,120,True
64997,70.000347,120,True
65117,54.87218,120,True
65237,73.070637,120,True
65357,78.241284,120,True
65477,76.874618,120,True
65597,72.590894,120,True
65717,52.006871,120,True
65837,61.98781,120,True
65957,78.064882,120,True
66077,70.732418,120,True
66197,63.213438,120,True
66317,74.289318,120,True
66437,57.674189,120,True
66557,69.802949,120,True
66677,56.9802,120,True
66797,70.764268,120,True
66917,69.648605,120,True
67037,60.176736,120,True
67157,67.202164,120,True
67277,78.790567,120,True
67397,72.144115,120,True
67504,54.544127,107,False
67624,60.000191,120,True
67744,61.480774,120,True
67864,72.310366,120,True
67984,72.108207,120,True
68104,73.440022,120,True
68224,73.118798,120,True
68344,77.630457,120,True
68464,74.80944,120,True
68584,61.076712,120,True
68704,70.674826,120,True
68824,59.662722,120,True
68944,73.810076,120,True
69064,77.009731,120,True
69184,68.92325,120,True
69304,79.678798,120,True
69424,65.0079,120,True
69514,46.851877,90,False
69634,73.642872,120,True
69754,76.189727,120,True
69874,60.852936,120,True
69994,68.642739,120,True
70114,47.522507,120,True
70234,74.305011,120,True
70354,77.935575,120,True
70474,79.369268,120,True
70594,77.121403,120,True
70714,73.766007,120,True
70819,45.565894,105,False
