steps,task,ep_rew_mean,success
960944,aiming,0.5414734545454546,0.5
962992,basketball,0.8299305454545454,0.0
962992,driving,2.3044780714285715,1.0
962992,aiming,0.4563399600000001,0.4
965040,basketball,0.7945289999999998,0.0
965040,driving,2.3381289000000005,1.0
965040,aiming,0.5947430370370371,0.5555555555555556
967088,basketball,0.8588627931034483,0.0
967088,driving,2.3005295666666665,1.0
967088,aiming,0.5215098148148148,0.48148148148148145
969136,basketball,0.8469295806451611,0.0
969136,driving,2.2220871428571427,1.0
969136,aiming,0.48010739285714293,0.42857142857142855
971184,basketball,0.8803967333333332,0.0
971184,driving,2.2956435925925933,1.0
971184,aiming,0.5171500000000001,0.4722222222222222
973232,basketball,0.8812700487804876,0.0
973232,driving,2.2432262083333336,1.0
973232,aiming,0.5124755000000002,0.4666666666666667
975280,basketball,0.8148605806451612,0.0
975280,driving,2.3336652307692307,1.0
975280,aiming,0.5413495333333335,0.5
977328,basketball,0.8586638518518517,0.0
977328,driving,2.292677533333333,1.0
977328,aiming,0.6001895000000002,0.5666666666666667
979376,basketball,0.793125260869565,0.0
979376,driving,2.3575372499999996,1.0
979376,aiming,0.53764705,0.5
981424,basketball,0.795273388888889,0.0
981424,driving,2.2637333870967744,1.0
981424,aiming,0.6076740606060606,0.5757575757575758
983472,basketball,0.8101542941176471,0.0
983472,driving,2.2828083125000003,1.0
983472,aiming,0.6925784761904764,0.6666666666666666
985520,basketball,0.8938032272727273,0.0
985520,driving,2.434149214285714,1.0
985520,aiming,0.6693863846153848,0.6410256410256411
987568,basketball,0.8429472926829267,0.0
987568,driving,2.2784346296296296,1.0
987568,aiming,0.7585985185185187,0.7407407407407407
989616,basketball,0.8192953928571426,0.0
989616,driving,2.2255307307692305,1.0
989616,aiming,0.5685294375000001,0.53125
991664,basketball,0.8809939374999998,0.0
991664,driving,2.3649057407407406,1.0
991664,aiming,0.6889310909090911,0.6666666666666666
993712,basketball,0.8373501999999999,0.0
993712,driving,2.242890625,1.0
993712,aiming,0.6708402142857145,0.6428571428571429
995760,basketball,0.8598310454545451,0.0
995760,driving,2.191671833333333,1.0
995760,aiming,0.5769638750000001,0.5416666666666666
997808,basketball,0.8329927142857142,0.0
997808,driving,2.322437925925926,1.0
997808,aiming,0.749377756756757,0.7297297297297297
999856,basketball,0.8291499374999995,0.0
999856,driving,2.3505337777777777,1.0
999856,aiming,0.6640991515151515,0.6363636363636364
1001904,basketball,0.7743090454545455,0.0
1001904,driving,2.27441046875,1.0
1001904,aiming,0.6208644482758621,0.5862068965517241
1003952,basketball,0.8379450689655172,0.0
1003952,driving,2.3239461333333336,1.0
1003952,aiming,0.7300092580645163,0.7096774193548387
1006000,basketball,0.8478040869565217,0.0
1006000,driving,2.301617823529411,1.0
1006000,aiming,0.5582250370370372,0.5185185185185185
1008048,basketball,0.8244498124999998,0.0
1008048,driving,2.256513965517242,1.0
1008048,aiming,0.59438524,0.56
